gender,famsize,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,schoolsup,famsup,activities,nursery,higher,internet,freetime,goout,health,attendance,ssc,hsc,avg_pointer,Learner_type
F,GT3,4,4,teacher,services,mother,1,3,no,yes,yes,no,yes,yes,3,2,5,52.34,84.65,69.41,5.15,0
F,GT3,3,1,other,other,mother,1,2,no,no,yes,yes,yes,yes,3,3,4,72.96,99.57,88.19,7.92,1
F,GT3,3,2,other,other,mother,1,2,no,no,yes,no,yes,yes,3,4,3,87.39,92.54,78.07,7.57,1
M,LE3,2,3,services,services,father,1,2,no,yes,no,no,yes,yes,3,3,3,66.75,92.88,80.66,6.38,0
M,LE3,2,1,at_home,other,mother,4,2,yes,yes,yes,yes,yes,yes,3,2,3,52.24,99.67,89.95,9.37,1
F,GT3,2,1,other,other,mother,2,3,no,no,yes,yes,yes,yes,2,3,3,85.28,98.41,87.68,7.42,1
F,LE3,4,3,health,other,father,1,2,no,no,yes,yes,yes,yes,2,3,3,51.97,87.95,74.39,7.62,1
M,GT3,2,2,other,other,father,2,2,no,yes,yes,yes,yes,yes,5,2,1,85.21,83.66,73.01,6.94,0
M,GT3,4,4,teacher,teacher,mother,1,2,yes,yes,yes,yes,yes,yes,5,5,2,63.8,88.37,83.36,7.1,1
M,GT3,4,4,health,other,father,1,2,no,yes,yes,yes,yes,yes,2,4,1,77.19,82.19,69.53,7.04,1
M,LE3,1,1,other,other,mother,2,2,no,yes,no,yes,yes,yes,4,2,5,87.84,85.08,75.53,7.64,1
M,GT3,3,2,at_home,other,mother,2,3,no,no,yes,yes,yes,yes,3,3,2,82.09,92.45,80.42,8.36,1
M,LE3,2,2,other,other,father,1,2,no,no,yes,no,yes,yes,4,2,4,64.63,99.61,84.76,8.17,1
F,GT3,2,1,other,other,mother,1,1,no,no,no,yes,yes,yes,5,2,5,66.27,89.85,82.87,7.01,1
F,GT3,2,1,at_home,services,mother,3,2,no,no,yes,yes,yes,no,1,1,3,72.79,80.21,72.97,6.38,0
M,GT3,2,2,other,services,father,1,2,no,no,no,yes,no,yes,5,4,2,74.23,89.27,84.27,8.25,1
M,LE3,4,3,health,other,mother,2,2,no,no,yes,yes,yes,yes,5,5,5,61.31,90.5,83.43,8.45,1
M,LE3,4,4,teacher,other,mother,2,2,no,yes,no,yes,yes,yes,3,3,4,79.63,99.19,87.2,9.06,1
M,LE3,4,3,teacher,other,mother,1,1,no,no,yes,no,yes,yes,4,5,3,60.52,80.31,71.19,6.72,0
M,GT3,4,4,services,services,mother,1,1,no,no,yes,yes,yes,yes,3,2,5,78.89,89.84,84.29,6.64,0
F,GT3,2,1,other,other,other,2,3,no,yes,no,no,yes,yes,4,4,3,62.55,99.28,87.51,9.72,1
M,GT3,2,1,other,other,mother,3,1,no,no,no,yes,yes,yes,3,3,4,72.68,80.12,68.37,7.31,1
M,GT3,2,3,other,other,father,2,1,no,no,no,yes,yes,yes,2,2,2,74.22,85.5,73.74,6.88,0
M,GT3,3,1,services,services,mother,1,1,no,no,no,no,no,yes,4,5,1,87.38,92.23,78.91,6.12,0
M,LE3,3,3,other,services,mother,1,2,no,yes,no,yes,yes,yes,3,3,5,50.35,80.72,68.76,6.7,0
M,GT3,0,2,other,other,mother,1,1,no,no,no,no,yes,yes,3,2,5,56.28,95,88.01,7.37,1
M,GT3,3,2,services,other,mother,2,1,no,no,no,yes,no,yes,4,5,5,53.53,96.79,82.51,7.14,1
M,GT3,3,3,at_home,other,other,3,2,yes,yes,no,no,yes,yes,3,3,2,85.95,83.38,70.16,5.45,0
M,GT3,2,1,services,services,mother,1,1,no,no,no,no,no,yes,2,5,5,56.02,90.6,76.38,7.5,1
M,GT3,2,1,other,other,mother,2,1,no,no,yes,no,yes,no,3,2,3,69.2,81.18,74.47,5.7,0
M,GT3,2,1,other,other,mother,1,1,no,no,no,no,yes,yes,4,2,5,70.2,80.43,74.31,8.02,1
M,LE3,1,1,health,other,mother,2,1,no,yes,yes,yes,yes,yes,4,4,5,73.46,95.55,85.54,6.78,0
F,LE3,4,2,teacher,services,mother,1,4,no,yes,yes,yes,yes,yes,2,3,4,60.11,95.36,81.34,6.73,0
M,LE3,4,3,services,at_home,mother,1,2,no,yes,no,yes,yes,yes,3,1,1,55.17,80.4,69.7,5.2,0
M,GT3,2,1,other,other,mother,1,2,no,no,yes,yes,yes,yes,2,4,4,55.37,93.45,83.06,8.46,1
F,LE3,2,2,services,services,father,1,4,no,no,yes,yes,yes,yes,4,1,2,75.7,85,74.12,6.72,0
F,GT3,4,3,services,other,father,1,2,no,yes,no,yes,yes,yes,1,2,2,76.65,91.94,76.99,7.67,1
M,GT3,4,3,teacher,other,mother,1,2,no,yes,no,no,yes,yes,3,2,3,67.45,99.23,92.04,7.59,1
M,GT3,3,2,other,other,mother,1,3,no,no,yes,no,yes,no,3,2,3,55.07,85.33,73.14,7.16,1
F,GT3,3,3,other,other,mother,1,3,no,no,yes,no,yes,no,2,3,4,81.36,85.14,73.8,7.31,1
F,GT3,2,2,at_home,services,mother,1,3,no,yes,yes,yes,yes,yes,3,3,3,84.43,93.92,80.3,7.45,1
M,LE3,3,4,other,other,mother,2,2,no,yes,yes,yes,yes,yes,2,5,1,54.73,87.26,82.09,6.92,0
M,GT3,3,1,services,other,mother,1,2,no,no,yes,yes,yes,yes,4,4,5,69.53,86.86,76.71,7.69,1
F,GT3,4,4,teacher,other,mother,2,2,no,no,yes,yes,yes,yes,3,4,4,85.7,85.43,71.4,7.87,1
M,GT3,4,2,health,other,father,1,2,no,yes,yes,yes,yes,yes,4,5,5,54.31,80.41,69.68,6.63,0
F,GT3,2,1,other,other,mother,2,2,no,yes,no,yes,no,yes,3,5,3,71.46,90.26,84.17,8.75,1
F,GT3,3,3,other,services,other,1,2,no,yes,yes,yes,yes,yes,3,5,5,89.22,84.7,73.31,7.61,1
F,GT3,2,3,other,services,father,1,4,no,yes,yes,yes,yes,yes,5,5,2,90.45,91.32,81.27,8.08,1
F,LE3,1,1,other,other,mother,2,2,no,yes,no,no,yes,no,4,3,3,69.72,99.68,90.41,8.75,1
M,GT3,1,2,at_home,at_home,mother,1,2,no,yes,yes,no,yes,no,5,2,1,61.87,81.54,72.8,7.28,1
F,GT3,2,4,at_home,health,mother,2,2,no,yes,no,yes,yes,yes,3,3,1,52.21,87.91,72.08,7.39,1
F,LE3,2,2,services,other,mother,2,2,yes,yes,no,yes,yes,yes,4,4,5,74.29,91.95,86.79,9.57,1
F,GT3,3,2,other,services,mother,2,2,no,no,no,no,no,yes,1,1,5,87.53,98.2,82.92,6.36,0
M,GT3,4,4,teacher,services,mother,2,1,no,no,yes,yes,yes,yes,2,4,3,61.82,96.92,84.35,7.03,1
F,GT3,4,4,health,health,father,1,2,yes,yes,yes,yes,yes,yes,4,4,4,90.54,86.3,70.66,5.11,0
M,LE3,4,3,teacher,services,mother,2,1,no,no,yes,yes,yes,yes,2,3,1,78.77,81.97,69.43,7.61,1
M,LE3,4,1,services,other,mother,2,1,no,no,yes,yes,yes,yes,5,4,5,61.34,96.17,80.86,6.11,0
M,LE3,3,2,teacher,services,mother,1,1,no,no,no,yes,yes,yes,4,4,3,75.84,90.71,85.41,8.51,1
F,LE3,1,1,at_home,other,mother,2,4,no,yes,yes,yes,yes,no,2,2,3,56.83,87.05,80.16,8.85,1
F,GT3,1,1,other,other,mother,2,2,yes,no,yes,yes,yes,yes,4,4,4,81.75,99.82,90.01,8.2,1
F,GT3,2,2,other,other,mother,1,2,no,yes,no,no,yes,yes,4,5,5,54.58,98.7,90.25,8.22,1
M,GT3,1,1,other,other,father,1,2,no,no,no,no,yes,yes,3,3,4,53.68,93.19,85.6,8.01,1
F,GT3,2,2,at_home,at_home,mother,1,3,no,yes,no,yes,yes,yes,3,3,2,65.86,95.81,88.49,7.72,1
F,GT3,1,1,services,teacher,mother,1,3,no,yes,no,yes,yes,yes,3,3,3,68.28,96.35,89.61,8.75,1
M,GT3,2,1,services,services,mother,1,3,no,no,yes,yes,yes,yes,2,4,2,60.92,83.63,77.23,6.95,0
M,LE3,4,4,teacher,teacher,mother,1,2,no,yes,yes,yes,yes,yes,4,3,2,89.73,86.24,77.51,6.28,0
M,GT3,4,2,teacher,other,mother,1,2,no,yes,yes,yes,yes,yes,3,2,5,58.66,94.6,85.64,8.65,1
F,GT3,4,3,health,services,mother,1,3,no,yes,no,yes,yes,yes,2,2,3,56.26,85.61,79.46,8.25,1
F,LE3,2,1,services,at_home,mother,1,2,no,no,no,yes,yes,yes,4,3,5,67.78,94.62,89.56,7.09,1
F,LE3,3,1,services,other,mother,2,4,no,yes,no,yes,yes,no,1,2,3,81.4,82.82,68.41,5.85,0
M,LE3,3,2,services,other,mother,2,3,no,yes,yes,yes,yes,yes,4,2,4,82.03,98.61,86.3,8.97,1
M,GT3,3,3,health,other,mother,1,1,no,yes,no,yes,yes,yes,4,3,5,84.17,96.06,90.83,8.77,1
F,GT3,4,4,health,other,other,2,2,no,yes,yes,yes,yes,yes,3,4,2,58.18,93.11,82.4,7.06,1
F,LE3,4,3,other,other,other,2,2,no,yes,no,yes,yes,yes,4,5,2,84.05,91.04,81.3,7.96,1
F,GT3,4,3,other,other,father,1,4,no,yes,no,yes,yes,yes,3,3,3,83.72,92.28,83.95,7.73,1
M,LE3,4,4,teacher,teacher,mother,1,1,no,yes,no,yes,yes,yes,4,2,1,58.35,90.53,80.39,8.44,1
F,LE3,4,4,health,other,mother,1,2,no,yes,no,yes,yes,yes,2,4,4,60.21,92.62,77.01,7.76,1
M,LE3,4,4,other,teacher,father,2,1,no,no,no,yes,yes,yes,1,1,5,73.88,98.88,87.29,8.77,1
F,GT3,4,2,other,other,mother,2,3,no,yes,no,yes,yes,yes,3,3,3,85.34,98.01,82.78,8.21,1
F,GT3,3,2,health,health,father,1,4,no,yes,yes,no,yes,yes,2,2,5,85.26,95.18,86.75,7.61,1
M,GT3,3,3,other,other,other,1,2,no,yes,yes,yes,yes,yes,4,4,3,69.87,86.09,75.82,7.71,1
F,GT3,2,4,services,at_home,other,1,2,no,yes,yes,yes,yes,yes,4,3,3,66.14,95.37,87.4,8.25,1
M,GT3,3,2,services,other,other,1,1,no,no,yes,yes,yes,no,5,3,5,66.77,83.92,73.97,6.51,0
M,GT3,4,4,teacher,services,other,2,1,no,yes,no,yes,yes,yes,3,4,4,75.75,86.07,80.3,6.93,0
M,GT3,3,3,other,services,father,1,2,no,no,yes,yes,yes,no,5,3,5,70.18,85.01,74.24,6.37,0
F,LE3,1,1,at_home,other,other,1,2,yes,yes,yes,no,yes,yes,4,3,3,65.98,80.35,65.13,5.91,0
F,LE3,1,2,services,services,other,1,2,no,no,yes,no,yes,no,2,4,3,81.76,89.03,78.34,6.82,0
F,GT3,2,1,at_home,other,other,3,2,no,yes,no,yes,no,yes,4,1,2,77.17,87.14,73.14,8.1,1
M,GT3,1,2,other,services,other,1,2,no,no,no,no,yes,yes,5,2,4,60.37,91.54,78.01,8.47,1
F,LE3,3,2,services,other,other,2,2,no,yes,no,no,yes,yes,2,2,1,61.1,85.75,75.96,6.27,0
F,GT3,1,1,at_home,health,other,1,3,no,no,no,no,yes,yes,1,2,3,58.83,82.26,73.92,6.49,0
F,GT3,2,3,other,other,other,1,3,no,no,no,yes,yes,yes,1,2,3,76.15,86.11,72.59,6.83,0
F,GT3,2,1,services,other,mother,2,2,no,yes,yes,yes,yes,yes,3,3,1,77.39,93.65,86.56,7.34,1
F,GT3,4,3,other,other,mother,1,3,no,yes,yes,yes,yes,yes,3,4,5,86.59,88.73,78.45,7.79,1
F,GT3,3,4,at_home,services,father,1,3,no,yes,yes,no,yes,yes,3,4,5,70.67,98.55,89.94,8.67,1
F,GT3,4,4,teacher,other,mother,1,2,no,yes,no,yes,yes,yes,4,4,5,73.58,92.65,86.04,8.9,1
F,GT3,4,3,services,services,mother,1,2,no,yes,no,yes,yes,yes,2,2,5,78.28,90.97,85.21,7.93,1
F,GT3,2,2,other,other,mother,1,2,no,yes,no,yes,yes,no,2,2,3,85.83,91.23,79.02,6.32,0
F,LE3,2,2,services,services,mother,1,3,no,yes,yes,yes,yes,yes,3,2,3,57.66,86.04,72.85,8.08,1
F,GT3,3,1,services,services,father,1,3,no,yes,no,no,yes,yes,4,3,5,90.21,80.22,66.67,6.86,0
F,LE3,0,2,at_home,at_home,father,2,3,no,no,no,yes,yes,yes,3,3,2,79.13,83.68,72.16,7.68,1
M,GT3,4,4,other,other,mother,1,3,no,no,yes,yes,yes,yes,3,3,3,76.64,92.1,82.11,6.71,0
M,GT3,3,3,other,services,mother,1,1,no,no,yes,no,yes,yes,3,5,5,83.6,80.35,72.93,7.19,1
M,GT3,2,2,services,other,mother,4,1,no,yes,no,yes,yes,yes,4,5,4,85.24,92.38,85.57,8.07,1
F,GT3,4,4,teacher,services,mother,1,3,no,yes,yes,yes,yes,yes,4,4,4,85.35,88.59,77.07,6.22,0
F,GT3,4,4,teacher,teacher,mother,2,3,no,yes,no,no,yes,yes,3,3,4,89.53,98.48,87.82,9.71,1
M,LE3,2,2,other,other,mother,1,4,no,yes,yes,yes,yes,yes,5,5,5,84.45,87.95,72.24,7.36,1
F,GT3,2,4,at_home,other,father,1,3,no,yes,no,yes,yes,yes,4,3,5,55.47,85.02,74.57,6.78,0
F,GT3,3,3,services,services,mother,1,2,no,no,yes,yes,yes,yes,3,4,4,72.81,81.69,73.73,5.8,0
F,LE3,2,2,other,other,other,1,2,no,no,yes,no,yes,yes,3,3,2,85.95,94.25,78.63,7.07,1
F,GT3,2,2,at_home,other,mother,2,4,no,no,yes,yes,yes,no,4,4,4,51.2,96.32,84.76,8.54,1
F,GT3,3,4,services,other,mother,1,3,no,no,no,yes,yes,yes,4,5,5,80.85,92.11,77.78,6.38,0
F,GT3,3,1,services,at_home,other,1,3,no,no,no,yes,yes,no,4,3,5,61.67,83.06,73.55,7.09,1
F,GT3,3,2,other,other,mother,1,2,no,yes,no,yes,yes,yes,3,2,2,83.44,80.53,65.65,4.64,0
F,LE3,3,3,services,services,mother,1,4,no,yes,no,yes,yes,yes,3,3,1,59.2,97.78,89.48,7.74,1
F,GT3,3,2,other,other,mother,1,2,no,yes,no,yes,yes,yes,3,3,2,79.76,98.83,86.46,6.71,0
F,GT3,2,1,services,services,other,1,3,no,no,yes,yes,yes,yes,3,4,3,52.88,98.91,92.56,7.8,1
M,GT3,4,4,teacher,services,father,1,2,no,yes,yes,yes,yes,yes,3,3,2,69.06,92.53,81.18,8.7,1
M,LE3,3,4,services,other,mother,1,2,no,no,yes,yes,yes,yes,3,3,5,63.97,87.64,74.47,5.65,0
F,GT3,2,2,at_home,at_home,father,1,2,no,yes,no,yes,yes,yes,3,1,4,90.25,80.52,68.35,5.09,0
F,GT3,2,3,at_home,other,mother,1,3,no,yes,no,yes,yes,yes,3,3,3,61.6,85.86,76.28,7.87,1
F,GT3,3,2,other,services,mother,1,3,no,no,no,yes,yes,yes,4,3,1,64.36,98.91,86.03,7.31,1
M,GT3,4,3,teacher,services,mother,1,3,no,no,no,yes,yes,yes,3,2,4,60.39,86.01,73.59,7.95,1
M,GT3,4,3,teacher,other,mother,1,3,no,yes,no,yes,yes,yes,4,5,5,70.16,96.16,87.51,8.16,1
F,GT3,4,3,health,other,mother,1,3,no,yes,yes,yes,yes,yes,4,3,4,58.36,91.17,82.21,6.86,0
M,GT3,3,2,other,other,mother,2,1,no,yes,no,no,yes,yes,5,5,5,50.75,86.99,73.16,7.62,1
M,GT3,1,1,other,services,other,3,2,no,no,no,yes,yes,yes,4,4,2,81.73,81.27,74.58,7.06,1
M,GT3,3,3,health,other,mother,2,2,no,yes,no,yes,yes,yes,5,4,3,51.36,87.51,74.43,6.09,0
M,LE3,1,3,at_home,services,mother,1,1,no,no,no,yes,no,yes,3,3,3,68.98,80.2,68.59,7.28,1
M,GT3,1,1,other,other,other,3,1,no,yes,no,yes,yes,yes,4,4,5,72.61,87.59,72.83,7.69,1
M,GT3,4,3,services,other,mother,2,2,no,yes,yes,no,yes,yes,5,5,2,59.62,85.94,77.28,7.8,1
F,GT3,3,3,services,services,father,1,2,no,yes,no,yes,yes,no,3,4,5,86.58,88.79,73.8,5.98,0
F,GT3,4,4,teacher,services,father,2,2,no,yes,yes,yes,yes,yes,3,3,5,72.73,90.2,83.15,7.37,1
F,LE3,3,2,services,other,mother,2,2,no,no,no,yes,yes,no,2,3,5,83.97,81.34,69.32,5.98,0
M,LE3,1,1,other,services,father,2,1,no,no,no,no,yes,yes,3,2,3,77.86,97.02,87.64,8.86,1
F,LE3,1,1,at_home,services,father,2,3,no,no,no,yes,yes,yes,3,2,4,84.61,83.98,75.73,6.8,0
F,LE3,1,4,at_home,other,mother,3,2,no,no,no,yes,yes,no,3,4,5,62.2,99.22,92.71,9.07,1
M,LE3,1,1,at_home,other,mother,2,2,no,no,yes,no,no,no,4,3,5,75.07,99.91,94.65,9.63,1
F,GT3,3,3,services,services,mother,2,2,no,yes,no,yes,yes,yes,3,2,3,84.49,95.36,89.46,8.82,1
F,LE3,4,4,at_home,at_home,mother,1,2,no,yes,yes,yes,yes,yes,3,4,1,70.36,84.55,73.46,8.05,1
F,GT3,1,2,other,services,father,2,2,no,no,no,no,yes,no,2,2,3,50.1,94.59,87.56,7.24,1
M,GT3,1,3,at_home,other,mother,2,2,no,yes,no,yes,yes,no,3,4,3,82.26,85.56,72.17,7.27,1
M,LE3,4,4,teacher,services,mother,2,3,no,no,no,yes,yes,yes,2,2,5,79.2,91.47,77.7,6.49,0
F,GT3,1,1,other,services,mother,3,1,no,yes,no,yes,yes,yes,2,1,1,52.39,80.47,71.59,6.43,0
F,GT3,2,3,at_home,services,father,2,1,no,yes,no,yes,yes,yes,2,3,4,80.57,87.55,75.66,6.64,0
F,GT3,4,4,other,teacher,father,3,2,no,yes,no,no,yes,yes,2,2,5,55.7,80.08,67.04,6.98,0
F,LE3,3,2,services,services,other,2,2,no,no,yes,yes,yes,no,2,2,3,57.27,81.21,72.28,5.6,0
M,LE3,1,2,at_home,services,father,3,1,no,yes,yes,yes,no,yes,3,3,3,51.69,94.15,87.99,9.03,1
F,GT3,2,2,other,at_home,mother,1,3,no,no,yes,yes,yes,no,4,3,3,64.95,84.18,78.15,8.42,1
F,GT3,1,2,other,other,mother,1,1,no,no,yes,yes,yes,yes,5,5,1,62.23,92.77,86.83,9.19,1
F,LE3,4,4,other,other,mother,2,3,no,no,no,yes,yes,yes,4,4,1,56.51,83.59,70.8,5.47,0
F,GT3,1,1,other,other,mother,4,3,no,no,no,yes,yes,yes,3,2,4,76.51,98.37,90.45,8.06,1
F,GT3,4,2,health,other,other,2,3,no,yes,no,no,yes,yes,4,3,3,89.97,98.51,93.42,9.14,1
F,LE3,4,4,teacher,services,mother,1,2,no,no,yes,yes,yes,yes,4,3,2,65.88,82.08,75.21,7.45,1
F,GT3,3,3,other,other,mother,1,2,no,no,no,yes,yes,yes,1,3,1,81.52,100,85.62,8.98,1
F,GT3,3,1,at_home,other,mother,1,2,no,yes,yes,no,yes,yes,5,4,1,71.92,98.42,91.09,9.44,1
M,GT3,4,4,teacher,teacher,father,1,2,no,no,yes,no,yes,yes,2,4,2,63.28,98.27,91.58,7.37,1
M,GT3,2,1,other,other,mother,2,1,no,no,yes,no,yes,yes,4,3,5,89.29,86.12,70.92,5.26,0
M,GT3,2,3,other,services,father,2,2,no,no,yes,yes,yes,yes,4,3,3,68.11,98.8,84.05,9.33,1
M,GT3,1,1,other,services,mother,2,1,no,no,no,yes,yes,no,3,2,5,58.87,94.9,89.81,7.33,1
M,GT3,4,2,other,other,father,2,1,no,no,no,yes,yes,no,4,3,3,78.77,96.84,89.38,7.81,1
F,GT3,2,2,at_home,other,mother,2,3,no,no,no,yes,yes,no,3,3,4,82.06,82.91,69.15,7.05,1
F,GT3,4,4,teacher,at_home,mother,3,1,no,yes,yes,yes,yes,yes,4,3,5,80.68,89.27,79.77,6.03,0
F,GT3,2,3,services,other,mother,1,3,no,no,yes,no,yes,yes,4,2,5,81.38,62.4,50.26,3.3,0
F,LE3,3,1,teacher,services,mother,1,2,no,yes,no,yes,yes,yes,3,4,1,72.18,82.03,76.74,7.6,1
F,GT3,1,1,other,other,mother,2,2,no,no,yes,yes,yes,no,1,1,5,79.74,81.65,71.14,6.69,0
M,LE3,2,2,services,services,other,1,2,no,yes,no,yes,yes,no,5,4,4,70.26,94.84,85.7,6.81,0
M,LE3,3,1,services,services,mother,2,1,no,no,no,no,yes,yes,4,5,2,63.26,95.46,86.68,7.58,1
M,GT3,1,1,other,other,other,1,1,no,no,no,no,yes,no,5,3,3,85.66,85.57,73.79,7.35,1
M,LE3,3,2,services,other,mother,3,1,no,no,no,no,yes,yes,4,1,5,50.72,95.5,82.9,8.19,1
M,LE3,1,1,other,at_home,father,1,1,no,no,no,yes,yes,yes,2,3,5,54.36,99.1,84.37,7.7,1
